amount,payment_method,failure_category,attempt_number,previous_success_rate,previous_failures,customer_tenure_days,subscription,recovered
3191,net_banking,HARD_DECLINE,1,0.082,0,1564,0,0
3708,upi,SOFT_DECLINE,2,0.95,6,1748,1,1
561,upi,TRANSIENT,1,0.218,22,554,0,1
6477,upi,HARD_DECLINE,3,0.108,0,1932,1,0
6048,debit_card,UNKNOWN,2,0.076,22,1731,0,1
1974,net_banking,HARD_DECLINE,3,0.783,11,1121,0,0
2250,debit_card,SOFT_DECLINE,2,0.822,3,917,0,0
737,upi,CUSTOMER_ACTION_REQUIRED,3,0.27,25,1913,0,0
4603,upi,SOFT_DECLINE,1,0.852,2,601,0,1
2562,upi,SOFT_DECLINE,2,0.182,6,756,0,0
3415,upi,CUSTOMER_ACTION_REQUIRED,1,0.01,6,205,1,0
899,credit_card,HARD_DECLINE,1,0.017,9,483,0,0
3590,debit_card,HARD_DECLINE,1,0.344,23,1157,1,0
4187,credit_card,SOFT_DECLINE,1,0.536,24,1443,1,1
4124,upi,SOFT_DECLINE,3,0.525,9,235,0,0
2660,debit_card,SOFT_DECLINE,1,0.055,9,1458,0,0
1744,credit_card,HARD_DECLINE,1,0.284,15,932,1,0
3692,net_banking,SOFT_DECLINE,1,0.577,21,139,1,0
3603,credit_card,UNKNOWN,1,0.558,13,1271,0,0
4762,debit_card,HARD_DECLINE,1,0.429,18,1301,1,0
1857,upi,TRANSIENT,2,0.265,2,351,1,0
1952,debit_card,TRANSIENT,1,0.288,9,1469,0,1
385,credit_card,TRANSIENT,2,0.59,25,1942,1,1
2864,credit_card,TRANSIENT,1,0.793,19,1563,0,0
4378,debit_card,SOFT_DECLINE,1,0.403,8,1054,0,0
2669,net_banking,HARD_DECLINE,1,0.229,21,1742,0,0
385,upi,TRANSIENT,2,0.576,24,1578,1,0
5674,credit_card,SOFT_DECLINE,2,0.969,15,742,0,1
2948,credit_card,TRANSIENT,1,0.495,21,1965,0,0
2981,credit_card,TRANSIENT,2,0.865,0,1376,0,1
4240,debit_card,TRANSIENT,2,0.498,14,1586,1,1
5109,credit_card,TRANSIENT,1,0.63,25,520,0,1
1040,debit_card,TRANSIENT,1,0.841,3,975,0,1
1983,net_banking,TRANSIENT,1,0.482,15,529,0,1
6774,upi,TRANSIENT,2,0.137,2,595,0,0
2980,upi,SOFT_DECLINE,2,0.837,18,1381,0,1
3178,debit_card,SOFT_DECLINE,1,0.543,14,1940,1,1
3445,upi,HARD_DECLINE,1,0.745,22,1900,0,0
7298,net_banking,HARD_DECLINE,3,0.495,1,288,0,0
157,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.722,13,1813,0,1
4119,wallet,SOFT_DECLINE,1,0.693,20,194,0,0
1380,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.872,1,1294,1,0
6637,wallet,UNKNOWN,2,0.434,3,1587,0,0
3630,upi,SOFT_DECLINE,2,0.293,11,912,1,0
2562,upi,HARD_DECLINE,1,0.079,12,1299,0,0
1204,credit_card,HARD_DECLINE,2,0.899,14,1875,1,0
886,net_banking,TRANSIENT,3,0.299,13,1443,1,0
1170,debit_card,TRANSIENT,1,0.575,22,634,1,0
3193,credit_card,SOFT_DECLINE,2,0.778,1,1894,0,0
4032,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.637,19,543,0,0
257,net_banking,HARD_DECLINE,2,0.903,20,110,1,0
4764,upi,HARD_DECLINE,2,0.176,4,1640,0,0
4121,net_banking,SOFT_DECLINE,2,0.257,15,1681,1,0
6727,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.676,21,843,0,0
4908,upi,SOFT_DECLINE,1,0.537,14,784,0,0
4114,net_banking,HARD_DECLINE,1,0.025,17,701,0,0
2561,net_banking,TRANSIENT,3,0.302,13,268,1,0
7279,debit_card,SOFT_DECLINE,1,0.454,21,1974,0,0
5995,upi,SOFT_DECLINE,1,0.415,3,1737,0,0
1140,credit_card,UNKNOWN,3,0.855,3,1434,0,0
4966,credit_card,HARD_DECLINE,1,0.968,14,217,0,0
3428,credit_card,HARD_DECLINE,1,0.565,2,1729,0,0
1181,net_banking,TRANSIENT,1,0.148,19,35,1,0
3362,debit_card,UNKNOWN,2,0.132,11,1647,0,0
1849,credit_card,TRANSIENT,1,0.421,3,1557,1,1
1310,upi,SOFT_DECLINE,2,0.727,21,1097,1,0
3525,wallet,TRANSIENT,2,0.426,3,1034,0,0
3774,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.585,22,695,0,0
4042,debit_card,SOFT_DECLINE,1,0.793,3,1776,0,0
1735,net_banking,HARD_DECLINE,1,0.827,12,881,0,0
5225,credit_card,SOFT_DECLINE,3,0.687,15,167,1,1
2080,upi,SOFT_DECLINE,1,0.957,17,705,0,1
3947,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.916,1,619,0,0
2014,credit_card,HARD_DECLINE,1,0.845,11,265,0,0
1515,net_banking,CUSTOMER_ACTION_REQUIRED,3,0.818,19,1412,0,1
2827,net_banking,UNKNOWN,2,0.309,10,748,1,0
4567,debit_card,HARD_DECLINE,1,0.633,0,217,0,0
262,debit_card,SOFT_DECLINE,2,0.568,2,1839,1,1
5913,upi,HARD_DECLINE,1,0.662,15,1273,0,0
1154,credit_card,HARD_DECLINE,2,0.487,21,661,1,0
3869,credit_card,HARD_DECLINE,1,0.211,4,1595,1,0
4100,upi,TRANSIENT,2,0.5,21,1681,0,0
5183,debit_card,HARD_DECLINE,1,0.078,10,1209,0,0
2382,credit_card,HARD_DECLINE,1,0.948,14,1733,0,0
6656,credit_card,SOFT_DECLINE,1,0.4,2,840,0,0
6140,upi,TRANSIENT,1,0.194,24,745,0,0
4634,credit_card,HARD_DECLINE,1,0.256,5,1263,1,0
1062,wallet,TRANSIENT,1,0.579,21,1922,0,0
989,debit_card,UNKNOWN,3,0.316,14,169,0,0
2413,upi,HARD_DECLINE,1,0.038,11,1733,1,0
3787,credit_card,UNKNOWN,1,0.384,18,1165,0,0
1546,net_banking,TRANSIENT,2,0.501,1,952,1,0
2297,upi,SOFT_DECLINE,1,0.173,7,1479,0,0
1577,credit_card,SOFT_DECLINE,1,0.338,19,137,0,0
4460,credit_card,TRANSIENT,2,0.284,23,1774,0,0
1801,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.968,22,1386,0,0
2314,debit_card,UNKNOWN,1,0.792,4,1402,0,0
6101,net_banking,UNKNOWN,1,0.018,9,399,0,0
5063,credit_card,HARD_DECLINE,3,0.155,9,1759,0,0
630,upi,SOFT_DECLINE,2,0.618,19,801,1,1
2389,upi,HARD_DECLINE,3,0.721,1,871,0,0
3065,upi,UNKNOWN,1,0.239,25,1636,0,0
1374,net_banking,SOFT_DECLINE,3,0.462,9,1623,0,0
3431,net_banking,UNKNOWN,1,0.641,11,1165,0,0
1705,credit_card,SOFT_DECLINE,1,0.16,14,1884,0,0
5114,net_banking,TRANSIENT,3,0.415,12,1058,0,0
1746,credit_card,TRANSIENT,1,0.099,22,1361,1,1
1644,net_banking,TRANSIENT,2,0.469,19,40,0,1
3811,credit_card,TRANSIENT,3,0.609,13,257,0,0
757,credit_card,TRANSIENT,1,0.837,15,1252,0,1
324,upi,HARD_DECLINE,1,0.002,11,522,0,0
964,debit_card,HARD_DECLINE,1,0.786,16,1164,1,0
7755,debit_card,TRANSIENT,1,0.747,11,1644,1,1
658,credit_card,HARD_DECLINE,1,0.352,10,1696,0,0
931,wallet,HARD_DECLINE,1,0.182,4,159,0,0
4330,credit_card,TRANSIENT,1,0.31,12,1699,0,1
2035,credit_card,HARD_DECLINE,1,0.781,20,709,1,0
2816,debit_card,SOFT_DECLINE,1,0.187,22,1048,0,0
5313,credit_card,SOFT_DECLINE,1,0.431,5,1147,1,1
748,credit_card,SOFT_DECLINE,1,0.444,14,116,0,0
4325,debit_card,HARD_DECLINE,2,0.791,1,183,0,0
3336,upi,SOFT_DECLINE,2,0.678,14,101,1,1
3530,debit_card,HARD_DECLINE,3,0.032,4,1420,0,0
4550,credit_card,SOFT_DECLINE,1,0.279,3,83,0,0
4819,upi,SOFT_DECLINE,1,0.26,14,469,0,1
6511,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.899,14,209,0,0
6408,upi,UNKNOWN,2,0.55,9,1855,1,1
4087,upi,HARD_DECLINE,1,0.985,25,314,1,0
5103,upi,SOFT_DECLINE,1,0.983,4,1283,0,1
451,upi,SOFT_DECLINE,1,0.575,4,679,0,0
3343,debit_card,HARD_DECLINE,2,0.78,20,1233,1,0
4210,net_banking,SOFT_DECLINE,1,0.165,10,1944,0,0
3439,net_banking,UNKNOWN,2,0.251,20,1988,0,1
1480,debit_card,SOFT_DECLINE,3,0.154,21,1308,0,0
2975,upi,CUSTOMER_ACTION_REQUIRED,2,0.028,1,1972,0,0
99,upi,HARD_DECLINE,1,0.627,9,1344,0,0
4785,upi,CUSTOMER_ACTION_REQUIRED,1,0.073,1,353,0,0
1475,upi,TRANSIENT,2,0.861,12,297,0,0
6676,credit_card,TRANSIENT,1,0.45,4,228,1,0
8244,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.934,23,670,1,1
1747,debit_card,UNKNOWN,2,0.497,2,1965,0,0
4937,upi,TRANSIENT,1,0.843,21,993,1,1
3611,credit_card,TRANSIENT,1,0.366,12,779,1,1
2406,debit_card,HARD_DECLINE,1,0.55,19,1423,0,1
5398,debit_card,TRANSIENT,3,0.558,11,1576,1,0
6835,credit_card,SOFT_DECLINE,2,0.519,4,1271,0,1
3957,debit_card,UNKNOWN,1,0.617,9,1245,1,0
1584,upi,SOFT_DECLINE,1,0.674,13,1225,1,0
7374,upi,CUSTOMER_ACTION_REQUIRED,1,0.266,20,1633,0,0
99,credit_card,TRANSIENT,2,0.775,12,332,0,1
3373,upi,HARD_DECLINE,1,0.441,13,340,0,0
1778,upi,SOFT_DECLINE,2,0.706,16,454,0,0
3861,debit_card,SOFT_DECLINE,3,0.46,17,731,0,0
3647,upi,CUSTOMER_ACTION_REQUIRED,1,0.957,8,1172,1,0
1151,upi,UNKNOWN,2,0.69,15,679,0,0
2232,upi,UNKNOWN,1,0.896,12,1706,1,0
6172,credit_card,TRANSIENT,3,0.079,14,1373,1,0
6522,debit_card,TRANSIENT,1,0.616,18,520,1,0
1423,upi,SOFT_DECLINE,1,0.413,22,997,1,0
5306,upi,TRANSIENT,3,0.878,15,1362,1,0
1898,upi,SOFT_DECLINE,3,0.089,18,505,0,0
5345,net_banking,UNKNOWN,1,0.92,12,1643,0,0
7608,net_banking,UNKNOWN,2,0.009,18,1264,1,0
189,wallet,SOFT_DECLINE,3,0.851,14,588,1,1
2215,debit_card,TRANSIENT,1,0.186,23,720,0,0
6297,credit_card,HARD_DECLINE,2,0.515,2,850,0,0
1188,debit_card,TRANSIENT,1,0.261,7,944,0,0
6631,upi,SOFT_DECLINE,2,0.062,3,983,1,0
3261,net_banking,SOFT_DECLINE,2,0.311,3,1338,0,0
3963,credit_card,HARD_DECLINE,2,0.606,13,1467,0,0
4072,upi,SOFT_DECLINE,1,0.247,24,1250,0,1
5841,upi,SOFT_DECLINE,1,0.548,16,444,0,1
4518,debit_card,SOFT_DECLINE,1,0.205,18,1031,1,0
247,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.462,25,661,0,0
2770,upi,CUSTOMER_ACTION_REQUIRED,1,0.045,11,1464,1,0
3580,credit_card,UNKNOWN,1,0.769,24,1343,0,0
2743,wallet,SOFT_DECLINE,1,0.87,12,799,1,0
3802,credit_card,CUSTOMER_ACTION_REQUIRED,3,0.393,4,1520,0,0
2033,wallet,HARD_DECLINE,1,0.719,13,1119,0,0
4922,credit_card,SOFT_DECLINE,2,0.032,21,888,0,0
7724,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.594,14,1254,0,0
111,credit_card,TRANSIENT,2,0.776,4,1061,0,1
4165,upi,CUSTOMER_ACTION_REQUIRED,1,0.773,10,515,1,1
2723,credit_card,HARD_DECLINE,3,0.88,5,1312,0,0
3842,debit_card,TRANSIENT,2,0.381,16,682,0,0
1196,credit_card,SOFT_DECLINE,1,0.858,4,1680,0,1
2561,debit_card,SOFT_DECLINE,1,0.388,8,446,1,1
1584,debit_card,SOFT_DECLINE,1,0.377,19,1264,1,1
1956,upi,CUSTOMER_ACTION_REQUIRED,2,0.217,6,1810,0,0
4513,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.754,7,1454,0,0
6823,upi,CUSTOMER_ACTION_REQUIRED,2,0.381,17,1358,0,0
8742,debit_card,SOFT_DECLINE,1,0.84,6,789,1,1
7095,upi,CUSTOMER_ACTION_REQUIRED,1,0.553,18,1216,0,0
1300,credit_card,TRANSIENT,1,0.943,10,557,0,1
2202,upi,HARD_DECLINE,1,0.733,11,376,1,0
9265,net_banking,TRANSIENT,1,0.839,2,1965,0,1
2618,credit_card,TRANSIENT,2,0.068,4,48,1,0
8052,upi,TRANSIENT,2,0.016,17,1159,0,1
772,debit_card,HARD_DECLINE,1,0.502,22,1410,0,0
1165,net_banking,TRANSIENT,2,0.252,11,577,0,1
2716,debit_card,UNKNOWN,1,0.697,9,1430,0,1
5498,upi,UNKNOWN,1,0.476,20,49,0,1
3504,upi,CUSTOMER_ACTION_REQUIRED,1,0.977,3,1862,0,1
5160,net_banking,TRANSIENT,1,0.074,8,1871,0,0
1156,net_banking,TRANSIENT,1,0.207,4,1570,0,0
99,credit_card,UNKNOWN,2,0.677,17,709,0,0
1735,upi,HARD_DECLINE,1,0.745,11,139,1,0
460,upi,TRANSIENT,3,0.326,20,589,0,0
793,upi,TRANSIENT,1,0.186,18,1383,0,0
4767,credit_card,SOFT_DECLINE,1,0.784,4,1544,0,1
3879,net_banking,TRANSIENT,1,0.761,3,301,1,1
3863,debit_card,HARD_DECLINE,1,0.597,25,694,0,1
3654,upi,SOFT_DECLINE,2,0.56,7,1201,0,0
2837,credit_card,TRANSIENT,1,0.276,9,1021,0,1
4394,upi,UNKNOWN,1,0.617,14,249,1,1
625,net_banking,SOFT_DECLINE,1,0.431,20,1247,1,1
6409,credit_card,UNKNOWN,1,0.965,10,626,0,0
2069,upi,UNKNOWN,2,0.365,18,439,0,0
4801,upi,HARD_DECLINE,3,0.462,22,459,0,0
3725,net_banking,HARD_DECLINE,1,0.633,7,547,0,0
540,credit_card,HARD_DECLINE,3,0.479,12,1124,0,0
3597,debit_card,HARD_DECLINE,2,0.537,20,1902,1,0
716,debit_card,HARD_DECLINE,2,0.044,20,1417,0,0
3895,upi,SOFT_DECLINE,1,0.747,17,1218,0,1
3703,debit_card,SOFT_DECLINE,2,0.69,4,736,0,0
7046,net_banking,SOFT_DECLINE,2,0.348,10,962,0,0
5422,credit_card,SOFT_DECLINE,2,0.452,2,644,1,0
6467,debit_card,TRANSIENT,3,0.74,16,387,0,0
5845,debit_card,SOFT_DECLINE,2,0.63,5,1341,0,0
482,net_banking,HARD_DECLINE,1,0.215,8,1570,0,0
3825,upi,HARD_DECLINE,1,0.366,6,967,1,0
2037,wallet,SOFT_DECLINE,1,0.114,11,1761,0,1
5285,net_banking,HARD_DECLINE,3,0.59,21,304,1,0
4564,debit_card,TRANSIENT,1,0.575,13,410,0,1
4923,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.167,9,317,1,0
5747,net_banking,HARD_DECLINE,1,0.384,17,1065,0,0
2142,upi,SOFT_DECLINE,1,0.167,18,93,0,1
1952,credit_card,TRANSIENT,1,0.773,15,1155,0,1
7227,debit_card,SOFT_DECLINE,3,0.542,24,115,0,0
2679,debit_card,TRANSIENT,1,0.875,1,951,1,1
626,net_banking,TRANSIENT,1,0.812,6,1690,0,1
113,upi,CUSTOMER_ACTION_REQUIRED,2,0.814,25,151,0,0
4508,credit_card,HARD_DECLINE,3,0.293,18,577,0,0
5741,net_banking,CUSTOMER_ACTION_REQUIRED,1,0.059,8,1805,0,0
6133,credit_card,TRANSIENT,1,0.248,21,834,0,0
382,debit_card,SOFT_DECLINE,2,0.093,16,1565,1,0
4052,wallet,SOFT_DECLINE,1,0.002,24,1764,0,0
2431,upi,SOFT_DECLINE,1,0.218,13,1719,1,1
3703,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.566,15,1644,1,0
3586,credit_card,TRANSIENT,1,0.858,14,964,1,0
289,upi,TRANSIENT,1,0.65,5,1820,0,1
748,credit_card,HARD_DECLINE,1,0.396,9,1516,0,0
6900,upi,HARD_DECLINE,1,0.477,4,1245,1,0
6047,upi,TRANSIENT,1,0.132,2,498,0,0
3794,debit_card,TRANSIENT,2,0.137,24,1695,0,1
2679,credit_card,UNKNOWN,2,0.44,23,466,0,0
2937,upi,SOFT_DECLINE,2,0.087,3,316,0,0
2458,wallet,SOFT_DECLINE,1,0.084,17,1260,0,0
4260,upi,HARD_DECLINE,2,0.658,9,450,0,0
8029,credit_card,HARD_DECLINE,3,0.495,3,523,0,0
4795,wallet,SOFT_DECLINE,3,0.934,4,822,0,0
3496,upi,SOFT_DECLINE,2,0.017,2,58,1,1
3194,upi,TRANSIENT,1,0.629,16,1601,0,0
1496,debit_card,TRANSIENT,1,0.511,6,1684,1,1
1657,upi,HARD_DECLINE,2,0.643,9,1460,0,0
4104,credit_card,TRANSIENT,2,0.055,21,1548,0,1
2433,credit_card,TRANSIENT,1,0.496,11,1101,0,0
2992,debit_card,SOFT_DECLINE,2,0.118,0,716,0,0
2083,upi,TRANSIENT,1,0.077,14,1076,0,0
2962,debit_card,HARD_DECLINE,1,0.723,7,1547,0,1
4164,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.383,4,396,0,0
2847,net_banking,HARD_DECLINE,1,0.416,23,685,1,1
397,debit_card,SOFT_DECLINE,3,0.179,25,1086,0,0
2027,debit_card,TRANSIENT,1,0.553,0,785,1,1
7727,upi,SOFT_DECLINE,1,0.592,15,1612,0,0
6394,upi,SOFT_DECLINE,1,0.542,20,1749,0,1
7706,upi,SOFT_DECLINE,1,0.738,9,242,1,0
4365,wallet,SOFT_DECLINE,1,0.044,7,1867,0,0
2762,debit_card,CUSTOMER_ACTION_REQUIRED,2,0.581,16,303,0,0
2308,credit_card,HARD_DECLINE,1,0.851,25,834,0,0
1871,credit_card,SOFT_DECLINE,1,0.203,24,1607,0,1
421,debit_card,TRANSIENT,3,0.208,9,978,1,1
4716,upi,TRANSIENT,2,0.697,1,470,0,1
1149,credit_card,TRANSIENT,2,0.26,5,93,0,0
5362,upi,HARD_DECLINE,1,0.102,25,316,1,1
3809,credit_card,HARD_DECLINE,2,0.938,2,1222,0,0
5396,wallet,TRANSIENT,1,0.646,25,293,1,0
3753,credit_card,CUSTOMER_ACTION_REQUIRED,3,0.433,23,838,0,0
2714,debit_card,SOFT_DECLINE,3,0.275,14,1839,1,0
2176,upi,HARD_DECLINE,1,0.088,12,311,0,0
3036,credit_card,HARD_DECLINE,3,0.544,0,813,0,0
5520,debit_card,SOFT_DECLINE,1,0.18,10,1252,1,0
1459,credit_card,HARD_DECLINE,3,0.529,24,1226,0,0
2522,upi,TRANSIENT,3,0.056,7,1209,0,0
7577,net_banking,SOFT_DECLINE,2,0.176,18,681,0,0
1144,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.563,6,1743,0,0
2779,debit_card,SOFT_DECLINE,1,0.09,7,1262,1,0
3396,net_banking,TRANSIENT,2,0.919,10,151,1,1
4261,upi,CUSTOMER_ACTION_REQUIRED,2,0.861,2,795,0,0
99,debit_card,HARD_DECLINE,2,0.437,20,1997,0,0
9125,upi,HARD_DECLINE,2,0.614,11,487,0,0
2568,upi,SOFT_DECLINE,1,0.702,18,831,0,0
4503,credit_card,HARD_DECLINE,1,0.809,19,482,0,1
5037,debit_card,SOFT_DECLINE,1,0.636,2,1712,0,0
4083,debit_card,CUSTOMER_ACTION_REQUIRED,1,0.25,2,747,1,1
2280,debit_card,TRANSIENT,2,0.493,12,749,0,1
3553,net_banking,SOFT_DECLINE,2,0.687,5,954,1,0
3936,debit_card,SOFT_DECLINE,1,0.375,23,183,0,0
2706,upi,TRANSIENT,2,0.483,0,913,0,1
4364,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.697,23,1925,0,0
4007,credit_card,SOFT_DECLINE,1,0.572,15,344,1,1
978,net_banking,TRANSIENT,1,0.207,20,627,0,0
976,upi,TRANSIENT,1,0.895,8,216,0,1
3293,debit_card,SOFT_DECLINE,1,0.263,8,1185,1,0
3696,credit_card,HARD_DECLINE,1,0.541,24,1237,1,1
6722,debit_card,SOFT_DECLINE,3,0.573,7,1005,1,0
2183,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.517,18,1417,0,1
4435,debit_card,UNKNOWN,1,0.193,1,897,1,0
2524,net_banking,TRANSIENT,1,0.595,10,1895,0,0
1666,upi,TRANSIENT,1,0.917,0,1640,0,1
1417,credit_card,HARD_DECLINE,1,0.567,18,1583,0,1
4119,upi,TRANSIENT,2,0.878,8,814,0,0
1899,credit_card,SOFT_DECLINE,1,0.618,21,1450,0,0
5703,upi,CUSTOMER_ACTION_REQUIRED,1,0.372,10,1704,0,0
3865,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.972,7,305,1,0
2547,debit_card,HARD_DECLINE,1,0.442,13,1547,0,0
377,credit_card,SOFT_DECLINE,2,0.066,22,1067,0,0
5351,upi,SOFT_DECLINE,1,0.058,1,964,1,0
7525,debit_card,TRANSIENT,1,0.397,3,1425,1,1
5282,credit_card,HARD_DECLINE,1,0.164,8,1563,0,1
583,credit_card,TRANSIENT,2,0.78,6,1785,1,1
1982,upi,TRANSIENT,3,0.682,15,1896,1,1
2583,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.943,22,1482,0,0
2964,debit_card,SOFT_DECLINE,2,0.824,12,1227,1,0
5803,net_banking,HARD_DECLINE,1,0.647,19,608,1,1
154,wallet,TRANSIENT,1,0.711,20,641,1,1
841,credit_card,TRANSIENT,2,0.81,12,1382,1,1
1460,debit_card,TRANSIENT,1,0.737,18,1480,0,0
8225,upi,SOFT_DECLINE,2,0.638,15,1886,0,0
1247,credit_card,SOFT_DECLINE,1,0.471,23,559,0,0
327,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.654,7,757,1,0
703,net_banking,SOFT_DECLINE,1,0.118,1,1804,0,0
5394,debit_card,HARD_DECLINE,1,0.12,21,811,0,0
5287,credit_card,CUSTOMER_ACTION_REQUIRED,3,0.893,14,323,1,0
2889,debit_card,HARD_DECLINE,2,0.177,20,148,1,0
3263,credit_card,HARD_DECLINE,2,0.088,19,918,0,0
112,debit_card,UNKNOWN,1,0.199,11,1975,1,0
1441,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.694,11,669,1,0
144,credit_card,HARD_DECLINE,2,0.298,9,963,0,0
5289,net_banking,SOFT_DECLINE,3,0.359,6,367,0,0
2934,credit_card,SOFT_DECLINE,2,0.131,23,74,0,1
7973,upi,SOFT_DECLINE,1,0.535,1,1246,0,0
4189,credit_card,HARD_DECLINE,2,0.417,12,283,0,0
1554,upi,TRANSIENT,2,0.662,8,1305,0,1
1454,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.118,3,1637,1,0
1339,credit_card,TRANSIENT,2,0.295,1,1152,0,1
2756,debit_card,UNKNOWN,1,0.672,3,1740,0,0
6571,upi,UNKNOWN,3,0.644,14,636,1,1
4821,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.36,21,670,0,1
4362,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.329,14,1986,0,0
3082,net_banking,TRANSIENT,1,0.401,14,586,0,0
4139,debit_card,SOFT_DECLINE,1,0.726,5,242,0,0
